midpoint,gdpc,a2003,a2013,c2003,c2013
1790,1800,0.266629210217948,0.295082187305738,63.883289003025,46.8077351170965
1810,1820,0.280845282671923,0.313301446590437,64.1641342856969,47.121036563687
1830,1840,0.308167254781482,0.361918073843067,64.4723015404784,47.48295463753
1850,1860,0.258889491026228,0.305835448257438,64.7311910315046,47.7887900857875
1870,1880,0.250770328342209,0.315215061480787,64.9819613598468,48.1040051472683
1890,1900,0.308212084926766,0.29775896137774,65.2901734447736,48.401764108646
1910,1920,0.234670911790712,0.314087485818572,65.5248443565643,48.7158515944646
1930,1940,0.237141587585057,0.298959933855248,65.7619859441493,49.0148115283198
1950,1960,0.260032115376528,0.300289340776157,66.0220180595259,49.315100869096
1970,1980,0.249921892869393,0.286619165315827,66.2719399523953,49.6017200344118
1990,2000,0.233412832550261,0.270478762080151,66.5053527849455,49.872198796492
2010,2020,0.249804148738423,0.290716713680055,66.7551569336839,50.162915510172
2030,2040,0.244031626739617,0.242453718131455,66.9991885604235,50.4053692283035
2050,2060,0.214691994944084,0.26787687690802,67.2138805553676,50.6732461052115
2070,2080,0.21676240834673,0.282326788879652,67.4306429637144,50.9555728940911
2090,2100,0.207043351059457,0.255909214414539,67.6376863147738,51.2114821085057
2110,2120,0.234193665734243,0.249511878301115,67.8718799805081,51.4609939868068
2130,2140,0.20434310058093,0.247820191007985,68.076223081089,51.7088141778148
2150,2160,0.202095523859533,0.229039751739272,68.2783186049485,51.937853929554
2170,2180,0.203291905876057,0.233171778411484,68.4816105108246,52.1710257079655
2190,2200,0.219295465524004,0.308376710800496,68.7009059763486,52.479402418766
2210,2220,0.197473987898489,0.300311910947415,68.8983799642471,52.7797143297134
2230,2240,0.181837759020643,0.247416823699937,69.0802177232677,53.0271311534134
2250,2260,0.228405927942699,0.227754779944892,69.3086236512104,53.2548859333583
2270,2280,0.186177149538959,0.251384133150036,69.4948008007494,53.5062700665083
2290,2300,0.197240595629675,0.24675229292926,69.692041396379,53.7530223594376
2310,2320,0.193082296142049,0.229324112409815,69.8851236925211,53.9823464718474
2330,2340,0.1883081600808,0.216199634171121,70.0734318526019,54.1985461060185
2350,2360,0.182509450888002,0.237303019662863,70.2559413034899,54.4358491256813
2370,2380,0.178957533815363,0.220820073855522,70.4348988373053,54.6566691995369
2390,2400,0.176143861951973,0.234779731613352,70.6110426992572,54.8914489311502
2410,2420,0.194450531275974,0.223603273652873,70.8054932305332,55.1150522048031
2430,2440,0.200080547708623,0.207213363289531,71.0055737782418,55.3222655680926
2450,2460,0.166522456367058,0.209820937018948,71.1720962346089,55.5320865051116
2470,2480,0.158344427810689,0.207304098506074,71.3304406624196,55.7393906036176
2490,2500,0.171225444355431,0.212094083916881,71.501666106775,55.9514846875345
2510,2520,0.157786536896333,0.205816706717138,71.6594526436713,56.1573013942517
